price,mileage,power,prod_year,seats_num,fuel,color,link
194,140000,558,2016,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl63-amg-ID6FyjmJ.html
59,288148,340,2007,7,Benzyna,Złoty,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-450-4matic-ID6Fz2Gw.html
139,301000,435,2012,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-500-full-opcja-ID6FvxVP.html
115,239000,258,2013,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl350d-4matic-full-opcja-polska-rej-ID6FyTGe.html
249,179000,558,2015,7,Benzyna,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl-63-amg-4matic-5-5-benzyna-558-km-jedyny-oryginalny-amg-ID6EZy2L.html
79,387000,306,2009,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-x164-420-cdi-ID6FtKRy.html
169,89000,333,2015,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-stan-perfekcyjny-full-opcja-ID6FyjPI.html
98,279034,435,2014,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-2014-gl450-4-matic-v8-7-osob-ID6FxW3h.html
170,239500,258,2013,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-350-bluetec-4matic-faktura-vat-bogata-wersja-wyposazenia-ID6FxzI2.html
78,182686,225,2008,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-320-cdi-2008r-x164-4x4-ID6FpoP3.html
59,371000,340,2007,7,Benzyna+LPG,Bordowy,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-v8-airmatic-szyberdach-bi-ksenon-7-osobowy-gaz-ID6FxAZd.html
45,297000,340,2008,7,Benzyna+LPG,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl450-w164-2008-7-osobowy-benzyna-lpg-ID6FpHId.html
64,261000,306,2010,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-full-opcja-4-0-diesel-306-km-ID6FvoLp.html
85,270000,265,2011,5,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-sprzedam-mercedes-gl-x164-ID6Fz4Dk.html
99,177100,435,2014,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-ID6Fo432.html
135,168000,258,2013,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-pakiet-amg-krajowy-bezwypadkowy-ID6FoAMA.html
115,105000,388,2008,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl550-w164-2008rok-import-japonia-105000-km-fv-ID6FjyJb.html
41,440000,306,2007,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-420-cdi-4xmatic-ID6Fxv0x.html
171,181000,435,2013,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-x166-bezwypadkowy-550-amg-distronic-kamery-360-ID6Fw19o.html
189,173000,258,2014,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-350-ID6F6ZGB.html
259,160000,558,2014,7,Benzyna,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-63-amg-f-vat-ID6FtnPO.html
139,180000,435,2015,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-550-v8-bi-turbo-pakiet-amg-ID6FycWe.html
61,221000,211,2010,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-ID6Ff9pS.html
69,255000,306,2008,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-ID6Fj3NR.html
164,112000,258,2015,7,Diesel,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl350-amg-sportpaket-airmatic-panorama-dach-distronic-night-vision-ID6DTZuc.html
44,333100,306,2009,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-450-v8-4x4-salon-polska-ID6Fvhbi.html
129,91000,333,2015,7,Benzyna,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl450-pakiet-amg-3-0-benzyna-pakiet-amg-ID6Ev5C5.html
45,326312,306,2007,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-samochod-rodzinny-ID6Fxmhg.html
128,269000,258,2014,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-pakiet-amg-stan-bardzo-dobry-prywatny-wlasciciel-ID6Fz0L4.html
179,116000,260,2016,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-stan-perfekcyjny-7-osobowy-super-wyposazony-patrz-opis-ID6FxGNj.html
166,172000,258,2015,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-350-bluetec-4-matic-panorama-dach-bezwypadkowy-ID6Fvfrr.html
69,138784,333,2015,7,Benzyna,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-2015-mercedes-benz-gl-450-4matic-benzyna-automat-4x4-7-osobowy-ID6FybSg.html
55,285000,225,2006,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-320-cdi-ID6F9R77.html
44,480000,306,2007,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-x164-420-cdi-4-matic-najwyzsza-opcja-faktura-vat-ID6EKfWB.html
139,179700,340,2013,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-x166-4-7biturbo-softclose-harmankardon-panorama-entertainment-monitory-ID6Fvfga.html
79,232000,340,2011,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-450-amg-pakiet-lift-stan-bdb-zarejestrowany-zamiana-ID6FxCJ1.html
84,290000,306,2009,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-164-450d-4matic-2009-lift-led-7osob-ID6Fswn0.html
,,,,,,,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-420cdi-306hp-4matic-skory-navi-dvd-ii-wlasciciel-zadbany-ID6Fvt17.html
89,95326,388,2013,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-4-7-l-340-km-kamera-4-matic-21-felgi-automat-kamera-bogate-wyposazenie-ID6FadfY.html
149,151000,435,2014,7,Benzyna,Granatowy,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-450-4-matic-4-7-v8-blis-435km-panorama-360-stopni-ID6F263f.html
46,350000,306,2007,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl420-serwisowany-godny-uwagi-mozliwa-zamiana-ID6Fi8BF.html
109,298000,258,2013,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-350-bluetec-4-matic-w-bogatej-wersji-wyposazenia-ID6FvcxZ.html
139,109000,333,2016,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-450-3-0-benzyna-2016r-ID6Fof9j.html
59,211000,388,2007,7,Benzyna+LPG,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-5-5-cm-benzyna-gaz-felgi-21-cali-ful-opcja-okazja-ID6FxxHt.html
169,225138,558,2014,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-63amg-7-osobowy-salon-polska-pierwszy-wlasciciel-regularnie-serwisowan-ID6F3Ak1.html
62,357000,306,2010,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-pierwszy-wlasciciel-salon-pl-ID6ENxg8.html
,,,,,,,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-350-polecam-lodz-fv-23-ID6FviWm.html
68,171000,265,2010,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-idealny-stan-techniczny-dealer-sprzedaje-ID6EWj1n.html
199,172665,258,2015,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-350d-full-chipbrabus-ID6FtLGQ.html
98,190600,558,2015,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl63-amg-1-wlasciciel-w-drodze-do-kraju-ID6Fxunn.html
149,167000,340,2013,7,Benzyna,Niebieski,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-pakiet-amg-ID6Fy4Hx.html
126,134000,340,2013,7,Benzyna,Inny kolor,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-kamera-navi-skora-7-osobowe-perfekcyjne-auto-pl-ID6FmJVa.html
129,141000,340,2013,7,Benzyna,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-4-7biturbobixenon7osszyberel-fotelenaviplel-klapakamcofania-ID6FqqGL.html
169,193000,258,2013,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-salon-polska-pakiet-amg-kamery-360-harman-kardon-ID6FxeNl.html
89,133438,362,2016,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-2016-3-0l-4x4-od-ubezpieczalni-ID6Fy0Q6.html
