price,mileage,power,prod_year,seats_num,fuel,color,link
59000,371000,340,2007,7,Benzyna+LPG,Bordowy,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-v8-airmatic-szyberdach-bi-ksenon-7-osobowy-gaz-ID6FxAZd.html
46125,350000,306,2007,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl420-serwisowany-godny-uwagi-mozliwa-zamiana-ID6Fi8BF.html
149500,151000,435,2014,7,Benzyna,Granatowy,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-450-4-matic-4-7-v8-blis-435km-panorama-360-stopni-ID6F263f.html
89900,95326,388,2013,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-4-7-l-340-km-kamera-4-matic-21-felgi-automat-kamera-bogate-wyposazenie-ID6FadfY.html
41950,329018,306,2006,5,Diesel,Bordowy,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-420cdi-306hp-4matic-skory-navi-dvd-ii-wlasciciel-zadbany-ID6Fvt17.html
84900,290000,306,2009,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-164-450d-4matic-2009-lift-led-7osob-ID6Fswn0.html
79999,232000,340,2011,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-450-amg-pakiet-lift-stan-bdb-zarejestrowany-zamiana-ID6FxCJ1.html
139900,179700,340,2013,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-x166-4-7biturbo-softclose-harmankardon-panorama-entertainment-monitory-ID6Fvfga.html
44895,480000,306,2007,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-x164-420-cdi-4-matic-najwyzsza-opcja-faktura-vat-ID6EKfWB.html
55000,285000,225,2006,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-320-cdi-ID6F9R77.html
69000,138784,333,2015,7,Benzyna,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-2015-mercedes-benz-gl-450-4matic-benzyna-automat-4x4-7-osobowy-ID6FybSg.html
166050,172000,258,2015,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-350-bluetec-4-matic-panorama-dach-bezwypadkowy-ID6Fvfrr.html
109000,298000,258,2013,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-350-bluetec-4-matic-w-bogatej-wersji-wyposazenia-ID6FvcxZ.html
48000,326000,306,2007,,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-420-cdi-4-matic-ID6FywMr.html
79000,252000,387,2011,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-pakiet-amg-7-osob-ID6FvP4z.html
79500,387000,306,2009,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-x164-420-cdi-ID6FtKRy.html
169500,89000,333,2015,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-stan-perfekcyjny-full-opcja-ID6FyjPI.html
59000,288148,340,2007,7,Benzyna,Złoty,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-450-4matic-ID6Fz2Gw.html
199999,172665,258,2015,7,Diesel,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-350d-full-chipbrabus-ID6FtLGQ.html
141900,270000,258,2013,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-ID6FfWEx.html
175000,126500,258,2016,7,Diesel,Brązowy,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl350-bluetec-distronic-amg-ID6Fybf8.html
45999,357000,340,2006,7,Benzyna+LPG,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-450-7-osobowy-hak-4x4-bogata-wersja-v8-z-nowa-lpg-ID6FuwaW.html
52000,323500,306,2007,,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-ID6FycQy.html
38900,205000,306,2007,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-420-cdi-ID6Ft4Zx.html
58000,215000,225,2008,7,Diesel,Granatowy,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-320-cdi-ID6FtnPL.html
53000,178300,340,2007,7,Benzyna,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-sprowadzony-z-usa-pewniak-ID6Fopln.html
62800,134000,435,2014,,Benzyna,Niebieski,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl-gls-harman-4-7-v8-ID6FvZMs.html
229000,65500,435,2016,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-550-super-stan-ID6Fwyrd.html
189000,108000,558,2016,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-63-amg-perfekt-stan-ID6FyeM2.html
99000,160000,265,2011,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-350-blueefficiency-maly-przebieg-serwis-aso-ID6FyeLY.html
107700,86040,435,2015,7,Benzyna,Inny kolor,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-amg-gl-550-v8-435-km-4-matic-7-os-a-s-o-w-drodze-do-polski-warty-ID6Fyf08.html
194900,24817,333,2016,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl450-4matic-3-0l-v6-362km-przebieg-24817km-serwisowany-zadbany-ID6FgKzC.html
129900,269000,258,2013,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-350-ID6F50NC.html
59900,285000,224,2008,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-3-0-cdi-4matic-automat-blokada-mostow-nivomat-skora-7-osob-ID6Fx5AL.html
45700,209700,340,2007,7,Benzyna,Złoty,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl450-zadbany-bezwypadkowy-bez-rdzy-ID6FhF4Y.html
79999,292456,388,2009,7,Benzyna+LPG,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-500-pakiet-amg-europa-ID6Fx9Uq.html
49600,262500,306,2007,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-polski-salon-faktura-vat-ID6ESVPS.html
107900,278000,435,2014,7,Benzyna,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-sprzedam-mercedes-gl450-bezwypadkowy-prywatny-zadbany-ID6FbrZz.html
140000,196000,258,2015,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-350-bluetec-4-matic-ID6FsFd6.html
194000,140000,558,2016,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl63-amg-ID6Fyl8D.html
63500,312900,211,2010,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-pierwszy-wlasciciel-w-polsce-oryginalny-przebieg-ID6Fp9co.html
282898,154000,558,2015,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-bez-wypadkowy-salonowy-amg-ID6EkXjd.html
106900,312000,258,2013,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-ID6FtjUR.html
159999,139086,258,2015,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl350d-bluetec-ID6FxdUh.html
53900,312000,225,2007,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-3-0d-225km-4matic-xenon-grzane-wentyl-skory-airmatic-parktronic-serwis-ID6F9E88.html
59900,455395,306,2008,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl-164-7-osob-full-opcja-ID6FwMHm.html
182999,111000,258,2016,7,Diesel,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-4x4-gl-350-d-258-km-7-osob-idealny-warszawa-ID6FqxBj.html
