price,mileage,power,prod_year,seats_num,fuel,color,link
194000,140000,558,2016,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl63-amg-ID6FyjmJ.html
59000,288148,340,2007,7,Benzyna,Złoty,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-450-4matic-ID6Fz2Gw.html
139999,301000,435,2012,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-500-full-opcja-ID6FvxVP.html
115900,239000,258,2013,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl350d-4matic-full-opcja-polska-rej-ID6FyTGe.html
249000,179000,558,2015,7,Benzyna,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl-63-amg-4matic-5-5-benzyna-558-km-jedyny-oryginalny-amg-ID6EZy2L.html
79500,387000,306,2009,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-x164-420-cdi-ID6FtKRy.html
169500,89000,333,2015,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-stan-perfekcyjny-full-opcja-ID6FyjPI.html
129900,163000,258,2014,7,Diesel,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-nr6-3-0cdi-258km-automat-7-osob-tempomat-navi-skory-klima-gwarancja-ID6Fr3d9.html
68900,145500,265,2011,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-lift-350-cdi-4-matic-lift-265km-niski-przebieg-144-650-tys-km-ID6FfJix.html
81000,152000,340,2010,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-450-4x4-4matic-ID6FsInr.html
130000,325742,435,2014,7,Benzyna,Błękitny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl-450-ID6FvylR.html
49900,256698,225,2007,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-320cdi-x164-2007-rok-ID6Fr1x8.html
